,route_name,route_url,bus_name,departure,arrival,depart_time,arrival_time,duration,bus_type,star_rating,price,seats_available
234,Kolkata To Haldia Bus,https://www.redbus.in/bus-tickets/kolkata-to-haldia,Satadal Travels,Karunamoyee,"Bus Stand, Haldia",14:55,18:15,03h 20m,"Satadal Travels
A/C Seater (2+2)",,162,
235,Kolkata To Haldia Bus,https://www.redbus.in/bus-tickets/kolkata-to-haldia,Diamond City Service,Karunamoyee,Durgachak Bus stop,15:10,18:55,03h 45m,"Diamond City Service
A/C Executive (2+3)",,149,
236,Kolkata To Haldia Bus,https://www.redbus.in/bus-tickets/kolkata-to-haldia,Droupadi Paribahan,Esplanade,Durgachak Bus stop,14:10,16:58,02h 48m,"Droupadi Paribahan
A/C Seater (2+3)",,,
237,Kolkata To Haldia Bus,https://www.redbus.in/bus-tickets/kolkata-to-haldia,Droupadi City Service,Esplanade,Durgachak Bus stop,15:20,18:10,02h 50m,"Droupadi City Service
A/C Seater (2+3)",,,
238,Kolkata To Haldia Bus,https://www.redbus.in/bus-tickets/kolkata-to-haldia,,,,,,,,,,
239,Haldia To Kolkata Bus,https://www.redbus.in/bus-tickets/haldia-to-kolkata,WBTC (CTC) Habra- Barasat- Haldia - 180|16:45,Haldia(Township),Dunlop,16:45,19:30,02h 45m,"WBTC (CTC) Habra- Barasat- Haldia - 180|16:45
Non AC Seater (2+3)",,,
240,Kolkata To Durgapur (West Bengal) Bus,https://www.redbus.in/bus-tickets/kolkata-to-durgapur,SHYAMOLI Pvt. Ltd.(Karunamoyee),Karunamoyee,City Center Durgapur,14:00,18:00,04h 00m,"SHYAMOLI Pvt. Ltd.(Karunamoyee)
Scania Multi-Axle AC Semi Sleeper (2+2)",,,
241,Kolkata To Durgapur (West Bengal) Bus,https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Greenline,Esplanade,City Center,14:30,18:30,04h 00m,"Greenline
Volvo A/C Seater (2+2)",,,
242,Kolkata To Durgapur (West Bengal) Bus,https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Shyamoli Paribahan Pvt Ltd,Esplanade,City Center Durgapur,15:00,18:00,03h 00m,"Shyamoli Paribahan Pvt Ltd
Scania Multi-Axle AC Semi Sleeper (2+2)",,,
243,Kolkata To Durgapur (West Bengal) Bus,https://www.redbus.in/bus-tickets/kolkata-to-durgapur,,,,,,,,,,
244,Kolkata To Durgapur (West Bengal) Bus,https://www.redbus.in/bus-tickets/kolkata-to-durgapur,,,,,,,,,,
245,Kolkata To Arambagh (West Bengal) Bus,https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal,SBSTC-KOLKATA - ARAMBAG - NON STOP - 14:30 - 582,Esplanade,ARAMBAG,14:30,17:00,02h 30m,"SBSTC-KOLKATA - ARAMBAG - NON STOP - 14:30 - 582
Non AC Seater (2+3)",,,
246,Kolkata To Arambagh (West Bengal) Bus,https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal,SBSTC-KOLKATA - ARAMBAG - NON STOP - 15:30 - 583,Esplanade,ARAMBAG,15:30,18:00,02h 30m,"SBSTC-KOLKATA - ARAMBAG - NON STOP - 15:30 - 583
Non AC Seater (2+3)",,,
247,Kolkata To Arambagh (West Bengal) Bus,https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal,SBSTC-KOLKATA - ARAMBAG - 16:30 - 584,Esplanade,ARAMBAG,16:30,19:00,02h 30m,"SBSTC-KOLKATA - ARAMBAG - 16:30 - 584
Non AC Seater (2+3)",,,
248,Kolkata To Arambagh (West Bengal) Bus,https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal,SBSTC-KOLKATA-ARAMBAG-17:30 - 585,Esplanade,ARAMBAG,17:30,20:00,02h 30m,"SBSTC-KOLKATA-ARAMBAG-17:30 - 585
Non AC Seater (2+3)",,,
249,Digha To Kolkata Bus,https://www.redbus.in/bus-tickets/digha-to-kolkata,Express Line,Digha,Esplanade,13:45,18:15,04h 30m,"Express Line
Volvo 9600 Multi Axle Semi-Sleeper (2+2)",,,
250,Digha To Kolkata Bus,https://www.redbus.in/bus-tickets/digha-to-kolkata,Shyamoli Paribahan Pvt Ltd,New Digha,Esplanade,13:40,18:25,04h 45m,"Shyamoli Paribahan Pvt Ltd
Volvo A/C Seater (2+2)",,,
251,Digha To Kolkata Bus,https://www.redbus.in/bus-tickets/digha-to-kolkata,Shyamoli Paribahan Pvt Ltd,Digha,Esplanade,13:45,18:55,05h 10m,"Shyamoli Paribahan Pvt Ltd
VE A/C Seater (2+2)",,,
252,Digha To Kolkata Bus,https://www.redbus.in/bus-tickets/digha-to-kolkata,,,,,,,,,,
253,Digha To Kolkata Bus,https://www.redbus.in/bus-tickets/digha-to-kolkata,,,,,,,,,,
254,Kolkata To Digha Bus,https://www.redbus.in/bus-tickets/kolkata-to-digha,Shyamoli Paribahan Pvt Ltd,,,23:30,04:30,05h 00m,"Shyamoli Paribahan Pvt Ltd
VE A/C Seater (2+2)",,,10 Seats available
255,Kolkata To Digha Bus,https://www.redbus.in/bus-tickets/kolkata-to-digha,Express Line,,,23:45,04:45,05h 00m,"Express Line
Volvo 9600 A/C Seater (2+2)",,,23 Seats available
256,Kolkata To Digha Bus,https://www.redbus.in/bus-tickets/kolkata-to-digha,Shyamoli Paribahan Pvt Ltd,,,23:45,04:45,05h 00m,Shyamoli Paribahan Pvt Ltd,,,
257,Kolkata To Digha Bus,https://www.redbus.in/bus-tickets/kolkata-to-digha,,,,,,,,,,
258,Kolkata To Digha Bus,https://www.redbus.in/bus-tickets/kolkata-to-digha,,,,,,,,,,
259,Kolkata To Bankura Bus,https://www.redbus.in/bus-tickets/kolkata-to-bankura,City Queen Bus Service,,,20:50,02:00,05h 10m,"City Queen Bus Service
Non AC Seater (2+2)",,,14 Seats available
260,Kolkata To Bankura Bus,https://www.redbus.in/bus-tickets/kolkata-to-bankura,City Queen Bus Service,,,21:30,03:30,06h 00m,"City Queen Bus Service
Non AC Seater (2+2)",,,18 Seats available
261,Delhi To Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla,Bedi Travels,,,23:00,08:00,09h 00m,"Bedi Travels
Volvo A/C Semi Sleeper (2+2 )",,495,19 Seats available
262,Delhi To Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla,Ram Dalal Holidays,,,23:00,07:10,08h 10m,"Ram Dalal Holidays
Volvo A/C Semi Sleeper (2+2)",,638,23 Seats available
263,Delhi To Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla,Laxmi holidays,,,23:30,08:00,08h 30m,"Laxmi holidays
Scania Multi-Axle AC Semi Sleeper (2+2)",,569,36 Seats available
264,Delhi To Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla,,,,,,,,,,
265,Delhi To Shimla Bus,https://www.redbus.in/bus-tickets/delhi-to-shimla,,,,,,,,,,
266,Shimla To Delhi Bus,https://www.redbus.in/bus-tickets/shimla-to-delhi,RSRTC - 192348,,,16:30,02:00,09h 30m,"RSRTC - 192348
Super Luxury Volvo AC Seater Pushback 2+2",,,30 Seats available
267,Shimla To Delhi Bus,https://www.redbus.in/bus-tickets/shimla-to-delhi,Bedi Travels,,,21:30,05:30,08h 00m,"Bedi Travels
Volvo A/C Semi Sleeper (2+2 )",,450,27 Seats available
268,Shimla To Delhi Bus,https://www.redbus.in/bus-tickets/shimla-to-delhi,Laxmi holidays,,,20:30,04:30,08h 00m,"Laxmi holidays
Scania Multi-Axle AC Semi Sleeper (2+2)",,474,43 Seats available
269,Shimla To Delhi Bus,https://www.redbus.in/bus-tickets/shimla-to-delhi,,,,,,,,,,
270,Shimla To Delhi Bus,https://www.redbus.in/bus-tickets/shimla-to-delhi,,,,,,,,,,
271,Manali To Chandigarh Bus,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Laxmi holidays,Private Bus Stand,Tribune Chowk Sector 31B,16:00,23:00,07h 00m,"Laxmi holidays
Volvo 9600 A/C Semi Sleeper (2+2)",,474,
272,Manali To Chandigarh Bus,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Laxmi holidays,,,22:00,03:30,05h 30m,"Laxmi holidays
Volvo 9600 A/C Semi Sleeper (2+2)",,664,8 Seats available
273,Manali To Chandigarh Bus,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Zingbus Plus,zingbus Lounge Manali,Sec 43,16:15,23:15,07h 00m,"Zingbus Plus
Volvo A/C Semi Sleeper (2+2)",,632,
274,Manali To Chandigarh Bus,https://www.redbus.in/bus-tickets/manali-to-chandigarh,,,,,,,,,,
275,Manali To Chandigarh Bus,https://www.redbus.in/bus-tickets/manali-to-chandigarh,,,,,,,,,,
276,Chandigarh To Manali Bus,https://www.redbus.in/bus-tickets/chandigarh-to-manali,Laxmi holidays,,,22:50,05:30,06h 40m,"Laxmi holidays
Volvo 9600 A/C Semi Sleeper (2+2)",,474,27 Seats available
277,Chandigarh To Manali Bus,https://www.redbus.in/bus-tickets/chandigarh-to-manali,Zingbus Plus,,,23:15,05:25,06h 10m,"Zingbus Plus
Volvo A/C Semi Sleeper (2+2)",,480,18 Seats available
278,Chandigarh To Manali Bus,https://www.redbus.in/bus-tickets/chandigarh-to-manali,Laxmi holidays,,,23:45,06:30,06h 45m,"Laxmi holidays
Scania Multi-Axle AC Semi Sleeper (2+2)",,474,41 Seats available
279,Chandigarh To Manali Bus,https://www.redbus.in/bus-tickets/chandigarh-to-manali,,,,,,,,,,
280,Chandigarh To Manali Bus,https://www.redbus.in/bus-tickets/chandigarh-to-manali,,,,,,,,,,
281,Delhi To Manali Bus,https://www.redbus.in/bus-tickets/delhi-to-manali,Malana Travels,,,21:30,07:30,10h 00m,"Malana Travels
Volvo 9600 Multi Axle Semi-Sleeper (2+2)",,674,23 Seats available
282,Delhi To Manali Bus,https://www.redbus.in/bus-tickets/delhi-to-manali,Laxmi holidays,,,19:00,07:00,12h 00m,"Laxmi holidays
Volvo 9600 A/C Semi Sleeper (2+2)",,569,24 Seats available
283,Delhi To Manali Bus,https://www.redbus.in/bus-tickets/delhi-to-manali,Deltin Travels,,,21:50,09:10,11h 20m,"Deltin Travels
Volvo 9600 A/C Semi Sleeper (2+2)",,,23 Seats available
284,Delhi To Manali Bus,https://www.redbus.in/bus-tickets/delhi-to-manali,,,,,,,,,,
285,Delhi To Manali Bus,https://www.redbus.in/bus-tickets/delhi-to-manali,,,,,,,,,,
286,Hamirpur (Himachal Pradesh) To Chandigarh Bus,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Laxmi holidays,,,20:20,01:15,04h 55m,"Laxmi holidays
Volvo A/C Semi Sleeper (2+2)",,427,25 Seats available
287,Hamirpur (Himachal Pradesh) To Chandigarh Bus,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Ram Dalal Holidays,,,21:40,02:05,04h 25m,"Ram Dalal Holidays
Volvo A/C Semi Sleeper (2+2)",,739,22 Seats available
288,Delhi To Hamirpur (Himachal Pradesh) Bus,https://www.redbus.in/bus-tickets/delhi-to-hamirpur-himachal-pradesh,Ram Dalal Holidays,,,21:20,05:55,08h 35m,"Ram Dalal Holidays
Volvo A/C Semi Sleeper (2+2)",,814,23 Seats available
289,Delhi To Hamirpur (Himachal Pradesh) Bus,https://www.redbus.in/bus-tickets/delhi-to-hamirpur-himachal-pradesh,Laxmi holidays,,,21:00,06:10,09h 10m,"Laxmi holidays
Volvo A/C Semi Sleeper (2+2)",,854,21 Seats available
290,Delhi To Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,RSRTC - 183801,DELHI,Chandigarh,15:30,21:00,05h 30m,"RSRTC - 183801
Express Non AC Seater 2+3",,,
291,Delhi To Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,NueGo,Karnal Bypass,Sec 43,13:45,18:25,04h 40m,"NueGo
Electric A/C Seater (2+2)",,356,
292,Delhi To Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,NueGo,ISBT Kashmiri Gate,Sec 43,14:30,19:35,05h 05m,"NueGo
Electric A/C Seater (2+2)",,356,
293,Delhi To Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,,,,,,,,,,
294,Delhi To Chandigarh Bus,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,,,,,,,,,,
295,Manali To Delhi Bus,https://www.redbus.in/bus-tickets/manali-to-delhi,Laxmi holidays,,,20:00,07:00,11h 00m,"Laxmi holidays
Volvo 9600 A/C Semi Sleeper (2+2)",,854,7 Seats available
296,Manali To Delhi Bus,https://www.redbus.in/bus-tickets/manali-to-delhi,IntrCity SmartBus,,,19:30,07:00,11h 30m,"IntrCity SmartBus
Volvo A/C Semi Sleeper (2+2)",,,5 Seats available
297,Manali To Delhi Bus,https://www.redbus.in/bus-tickets/manali-to-delhi,Laxmi holidays,,,16:00,04:20,12h 20m,"Laxmi holidays
Volvo 9600 A/C Semi Sleeper (2+2)",,569,1 Seat available
298,Manali To Delhi Bus,https://www.redbus.in/bus-tickets/manali-to-delhi,,,,,,,,,,
299,Manali To Delhi Bus,https://www.redbus.in/bus-tickets/manali-to-delhi,,,,,,,,,,
300,Hamirpur (Himachal Pradesh) To Delhi Bus,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-delhi,Ram Dalal Holidays,,,21:40,06:00,08h 20m,"Ram Dalal Holidays
Volvo A/C Semi Sleeper (2+2)",,739,22 Seats available
301,Hamirpur (Himachal Pradesh) To Delhi Bus,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-delhi,Laxmi holidays,,,20:20,05:30,09h 10m,"Laxmi holidays
Volvo A/C Semi Sleeper (2+2)",,522,24 Seats available
302,Tezpur To Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Chartered Bus - ASTC,Tezpur Astc,ISBT Guwahati,14:30,18:30,04h 00m,"Chartered Bus - ASTC
Volvo AC Seater Pushback 2+2",,,
303,Tezpur To Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Chartered Bus - ASTC,Tezpur Astc,Khanapara,15:30,19:15,03h 45m,"Chartered Bus - ASTC
Volvo AC Seater Pushback 2+2",,,
304,Tezpur To Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,BLUE HILL TRAVELS INDIA LIMITED,,,21:30,03:30,06h 00m,"BLUE HILL TRAVELS INDIA LIMITED
NON A/C Seater Semi Sleeper (2+1)",,,18 Seats available
305,Tezpur To Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,DESTINY TRAVELS,,,18:30,03:45,09h 15m,"DESTINY TRAVELS
NON A/C Seater (2+1)",,380,24 Seats available
306,Tezpur To Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,,,,,,,,,,
307,Guwahati To Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Orient Transline,Khanapara,Dulabari centre,13:55,17:30,03h 35m,"Orient Transline
A/C Seater (2+1)",,,
308,Guwahati To Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Mahi Travels(Under ASTC),Khanapara,Mission Chariali,14:15,17:50,03h 35m,"Mahi Travels(Under ASTC)
A/C Seater (2+2)",,369,
309,Guwahati To Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,WARISPIYA TRAVELS,Khanapara,ASTC Bus Stand Tezpur,15:00,18:40,03h 40m,"WARISPIYA TRAVELS
AC Seater (2+2)",,,
310,Guwahati To Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,WARISPIYA TRAVELS,Khanapara,ASTC Bus Stand Tezpur,15:35,19:15,03h 40m,"WARISPIYA TRAVELS
AC Seater (2+2)",,,
311,Guwahati To Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,WARISPIYA TRAVELS,Khanapara,ASTC Bus Stand Tezpur,16:15,19:40,03h 25m,"WARISPIYA TRAVELS
Bharat Benz A/C Seater (2+2)",,,
312,Nagaon (Assam) To Guwahati Bus,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Baikuntha Transport Service,NAGAON BYPASS,ISBT Guwahati,14:00,17:00,03h 00m,"Baikuntha Transport Service
Bharat Benz A/C Seater (2+1)",,450,
313,Nagaon (Assam) To Guwahati Bus,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Chartered Bus - ASTC,Nagaon(Bypass),ISBT Guwahati,16:00,18:30,02h 30m,"Chartered Bus - ASTC
Volvo AC Seater Pushback 2+2",,,
314,Nagaon (Assam) To Guwahati Bus,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Chartered Bus - ASTC,Nagaon(Bypass),Khanapara,17:00,19:15,02h 15m,"Chartered Bus - ASTC
Volvo AC Seater Pushback 2+2",,,
315,Nagaon (Assam) To Guwahati Bus,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,PANKAJ TRAVELS,Nagaon (Bypass),ISBT Guwahati,14:50,17:50,03h 00m,"PANKAJ TRAVELS
AC Seater (2+2)",,,
316,Nagaon (Assam) To Guwahati Bus,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Christina Travels,Nagaon,Khanapara,16:00,18:20,02h 20m,"Christina Travels
NON A/C Seater (2+2)",,650,
317,Guwahati To Nagaon (Assam) Bus,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Assam State Transport Corporation (ASTC) - 146079,ASTC Paltan Bazar,ASTC Bus Stop Nagaon,15:00,18:00,03h 00m,"Assam State Transport Corporation (ASTC) - 146079
Bharat Benz A/C Seater (2+2)",,,
318,Guwahati To Nagaon (Assam) Bus,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Orient Transline,Khanapara,Nagaon (Bypass),13:55,15:45,01h 50m,"Orient Transline
A/C Seater (2+1)",,,
319,Guwahati To Nagaon (Assam) Bus,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Mahi Travels(Under ASTC),Khanapara,Nagaon(Bypass),14:15,16:15,02h 00m,"Mahi Travels(Under ASTC)
A/C Seater (2+2)",,312,
320,Guwahati To Nagaon (Assam) Bus,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,DESTINY TRAVELS,,,18:45,21:50,27h 05m,"DESTINY TRAVELS
NON A/C Seater (2+1)",,419,35 Seats available
321,Dhubri To Guwahati Bus,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Yatra,,,20:15,03:30,07h 15m,"Yatra
Non AC Seater (2+2)",,,40 Seats available
322,North Lakhimpur To Jorhat Bus,https://www.redbus.in/bus-tickets/north-lakhimpur-to-jorhat,Priyanka,,,17:30,05:05,11h 35m,"Priyanka
NON A/C Seater (2+1)",,,13 Seats available
323,Bareilly (Uttar Pradesh) To Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Rahul Travels,,,22:30,05:00,06h 30m,"Rahul Travels
AshokLeyland Stile A/C",,,5 Seats available
324,Bareilly (Uttar Pradesh) To Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Rahul Travels,,,23:10,05:10,06h 00m,"Rahul Travels
AshokLeyland Stile A/C",,,13 Seats available
325,Bareilly (Uttar Pradesh) To Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Vijay Tour and Travels,Bareilly Satellite,Dhaula Kuan,17:00,23:20,06h 20m,"Vijay Tour and Travels
A/C Seater / Sleeper (2+1)",,600,
326,Bareilly (Uttar Pradesh) To Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Vijay Tour and Travels,,,19:00,01:10,06h 10m,"Vijay Tour and Travels
A/C Seater / Sleeper (2+1)",,554,7 Seats available
327,Bareilly (Uttar Pradesh) To Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi,,,,,,,,,,
328,Aligarh To Delhi Bus,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - ALI0010,ALIGARH SATELITE,NOIDA BUS STATION,15:00,18:00,03h 00m,"UPSRTC - ALI0010
Janrath AC Seater 2+2",,,
329,Aligarh To Delhi Bus,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - BDV0088,ALIGARH SATELITE,NOIDA BUS STATION,15:28,18:48,03h 20m,"UPSRTC - BDV0088
Ordinary Non AC Seater 2+3",,,
330,Aligarh To Delhi Bus,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - BDV0110,ALIGARH SATELITE,NOIDA BUS STATION,15:29,19:17,03h 48m,"UPSRTC - BDV0110
Ordinary Non AC Seater 2+3",,,
331,Aligarh To Delhi Bus,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - BDV0102,ALIGARH SATELITE,NOIDA BUS STATION,15:30,18:50,03h 20m,"UPSRTC - BDV0102
Ordinary Non AC Seater 2+3",,,
332,Aligarh To Delhi Bus,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - BDV0092,ALIGARH SATELITE,NOIDA BUS STATION,17:59,21:18,03h 19m,"UPSRTC - BDV0092
Ordinary Non AC Seater 2+3",,,
333,Delhi To Bareilly (Uttar Pradesh) Bus,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Rahul Travels,,,21:30,03:30,06h 00m,"Rahul Travels
AshokLeyland Stile A/C",,,18 Seats available
334,Delhi To Bareilly (Uttar Pradesh) Bus,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Rahul Travels,,,21:00,02:30,05h 30m,"Rahul Travels
AshokLeyland Stile A/C",,,30 Seats available
335,Delhi To Bareilly (Uttar Pradesh) Bus,https://www.redbus.in/bus-tickets/delhi-to-bareilly,R S YADAV SMART BUS PRIVATE LIMITED,,,22:15,04:15,06h 00m,"R S YADAV SMART BUS PRIVATE LIMITED
VE A/C Sleeper (2+1)",,,28 Seats available
336,Delhi To Bareilly (Uttar Pradesh) Bus,https://www.redbus.in/bus-tickets/delhi-to-bareilly,SHRI RAM TRAVELS,,,23:59,05:15,05h 16m,"SHRI RAM TRAVELS
A/C Seater (2+2)",,,18 Seats available
337,Delhi To Bareilly (Uttar Pradesh) Bus,https://www.redbus.in/bus-tickets/delhi-to-bareilly,,,,,,,,,,
338,Delhi To Aligarh (Uttar Pradesh) Bus,https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Chaturvedi Bus Service,,,22:00,01:30,03h 30m,"Chaturvedi Bus Service
NON A/C Seater/ Sleeper (2+1)",,,51 Seats available
339,Delhi To Aligarh (Uttar Pradesh) Bus,https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Chaturvedi Bus Service,,,21:00,00:30,03h 30m,"Chaturvedi Bus Service
NON AC Seater / Sleeper 2+1",,,45 Seats available
340,Delhi To Aligarh (Uttar Pradesh) Bus,https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Chaturvedi Bus Service,,,19:30,01:30,06h 00m,"Chaturvedi Bus Service
NON A/C Seater/ Sleeper (2+1)",,,51 Seats available
341,Delhi To Aligarh (Uttar Pradesh) Bus,https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Chaturvedi Bus Service,,,20:40,02:30,05h 50m,"Chaturvedi Bus Service
A/C Seater / Sleeper (2+1)",,,48 Seats available
342,Farrukhabad (Uttar Pradesh) To Delhi Bus,https://www.redbus.in/bus-tickets/farrukhabad-up-to-delhi,KVS Holidays,,,20:30,05:30,09h 00m,"KVS Holidays
Non A/C Seater / Sleeper (2+1)",,,30 Seats available
343,Farrukhabad (Uttar Pradesh) To Delhi Bus,https://www.redbus.in/bus-tickets/farrukhabad-up-to-delhi,Chaturvedi Bus Service,,,20:00,05:15,09h 15m,"Chaturvedi Bus Service
NON A/C Seater/ Sleeper (2+1)",,,51 Seats available
344,Farrukhabad (Uttar Pradesh) To Delhi Bus,https://www.redbus.in/bus-tickets/farrukhabad-up-to-delhi,Chaturvedi Bus Service,,,19:30,05:00,09h 30m,"Chaturvedi Bus Service
A/C Seater / Sleeper (2+1)",,,47 Seats available
345,Farrukhabad (Uttar Pradesh) To Delhi Bus,https://www.redbus.in/bus-tickets/farrukhabad-up-to-delhi,Abhay Travels (I.R.T.C),,,18:00,06:00,12h 00m,"Abhay Travels (I.R.T.C)
Non A/C Seater / Sleeper (2+1)",,,26 Seats available
346,Farrukhabad (Uttar Pradesh) To Delhi Bus,https://www.redbus.in/bus-tickets/farrukhabad-up-to-delhi,,,,,,,,,,
347,Badaun To Delhi Bus,https://www.redbus.in/bus-tickets/badaun-to-delhi,UPSRTC - SKD0022,BADAUN,Anand Vihar,16:00,23:45,07h 45m,"UPSRTC - SKD0022
Ordinary Non AC Seater 2+3",,,
348,Badaun To Delhi Bus,https://www.redbus.in/bus-tickets/badaun-to-delhi,UPSRTC - BDN0022,,,20:00,02:00,06h 00m,"UPSRTC - BDN0022
Ordinary Non AC Seater 2+3",,,52 Seats available
349,Badaun To Delhi Bus,https://www.redbus.in/bus-tickets/badaun-to-delhi,UPSRTC - KSB0004,,,23:00,05:00,06h 00m,"UPSRTC - KSB0004
Shatabdi AC Seater 2+2",,,16 Seats available
350,Lucknow To Allahabad Bus,https://www.redbus.in/bus-tickets/lucknow-to-allahabad,Sethi Yatra Company,,,22:30,03:00,04h 30m,"Sethi Yatra Company
A/C Seater/Sleeper (2+1)",,,28 Seats available
351,Lucknow To Allahabad Bus,https://www.redbus.in/bus-tickets/lucknow-to-allahabad,Mahalaxmi Travels,,,23:15,03:45,04h 30m,"Mahalaxmi Travels
Bharat Benz A/C Seater /Sleeper (2+1)",,,29 Seats available
352,Lucknow To Allahabad Bus,https://www.redbus.in/bus-tickets/lucknow-to-allahabad,Goyal Travels,,,23:49,03:55,04h 06m,"Goyal Travels
A/C Seater / Sleeper (2+1)",,,13 Seats available
353,Lucknow To Varanasi Bus,https://www.redbus.in/bus-tickets/lucknow-to-varanasi,Sethi Yatra Company,,,22:30,05:55,07h 25m,"Sethi Yatra Company
A/C Seater/Sleeper (2+1)",,,28 Seats available
354,Lucknow To Varanasi Bus,https://www.redbus.in/bus-tickets/lucknow-to-varanasi,Mahalaxmi Travels,,,23:15,05:45,06h 30m,"Mahalaxmi Travels
Bharat Benz A/C Seater /Sleeper (2+1)",,,29 Seats available
355,Lucknow To Varanasi Bus,https://www.redbus.in/bus-tickets/lucknow-to-varanasi,Yolo Bus,,,22:19,05:43,07h 24m,"Yolo Bus
A/C Sleeper (2+1)",,,22 Seats available
356,Lucknow To Varanasi Bus,https://www.redbus.in/bus-tickets/lucknow-to-varanasi,,,,,,,,,,
357,Lucknow To Varanasi Bus,https://www.redbus.in/bus-tickets/lucknow-to-varanasi,,,,,,,,,,
358,Delhi To Badaun Bus,https://www.redbus.in/bus-tickets/delhi-to-badaun,UPSRTC - BDN0042,Anand Vihar,BADAUN,15:30,22:00,06h 30m,"UPSRTC - BDN0042
Ordinary Non AC Seater 2+3",,,
359,Delhi To Badaun Bus,https://www.redbus.in/bus-tickets/delhi-to-badaun,UPSRTC - BDN0044,,,19:00,01:30,06h 30m,"UPSRTC - BDN0044
Ordinary Non AC Seater 2+3",,,52 Seats available
360,Delhi To Badaun Bus,https://www.redbus.in/bus-tickets/delhi-to-badaun,UPSRTC - BDN0046,,,21:00,03:30,06h 30m,"UPSRTC - BDN0046
Ordinary Non AC Seater 2+3",,,52 Seats available
361,Delhi To Badaun Bus,https://www.redbus.in/bus-tickets/delhi-to-badaun,UPSRTC - KSB0005,,,23:00,05:00,06h 00m,"UPSRTC - KSB0005
Shatabdi AC Seater 2+2",,,24 Seats available
